Randomize complete block design
Evaluation of Clone Tomasa like 350 for resistance to Late Blight under Peruvian highlands coditions
Varieties: Musuq Tomasa, Tomasa Condemayta, Cruza 148, Pimpernell
Nº plants/Var./Block: 20
localidad  Huasahuasi 2005-2006
Evaluations dates: 12/01/2005	12/08/2005	12/15/2005	12/22/2005	12/29/2005	
01/05/2006	01/12/2006	01/19/2006
Block	Var	Plant	d44	d51	d58	d65	d72	d79	d86	d93
1	Musuq	1	0	0	0	1	20	95	100	100
1	Musuq	2	0	0	0	10	30	95	100	100
1	Musuq	3	0	0	0	5	30	95	100	100
1	Musuq	4	0	0	0	5	40	100	100	100
1	Musuq	5	0	0	0	1	40	95	100	100
1	Musuq	6	0	0	0	5	40	95	100	100
1	Musuq	7	0	0	0	5	45	95	100	100
1	Musuq	8	0	0	0	5	40	95	100	100
1	Musuq	9	0	0	0	5	50	95	100	100
1	Musuq	10	0	0	1	20	60	95	100	100
1	Musuq	11	0	0	0	1	40	95	100	100
1	Musuq	12	0	0	0	5	40	100	100	100
1	Musuq	13	0	0	0	1	50	95	100	100
1	Musuq	14	0	0	0	5	40	95	100	100
1	Musuq	15	0	0	0	5	40	95	100	100
1	Musuq	16	0	0	0	5	40	95	100	100
1	Musuq	17	0	0	0	5	40	95	100	100
1	Musuq	18	0	0	0	5	40	95	100	100
1	Musuq	19	0	0	1	5	50	100	100	100
1	Musuq	20	0	0	0	5	40	95	100	100
1	Tomasa	1	0	0	0	5	40	100	100	100
1	Tomasa	2	0	0	0	5	40	100	100	100
1	Tomasa	3	0	0	0	5	40	100	100	100
1	Tomasa	4	0	0	0	5	40	100	100	100
1	Tomasa	5	0	0	0	5	40	100	100	100
1	Tomasa	6	0	0	0	5	40	100	100	100
1	Tomasa	7	0	0	0	5	50	100	100	100
1	Tomasa	8	0	0	0	5	40	100	100	100
1	Tomasa	9	0	0	0	5	40	100	100	100
1	Tomasa	10	0	0	0	5	40	100	100	100
1	Tomasa	11	0	0	0	5	50	100	100	100
1	Tomasa	12	0	0	0	5	50	100	100	100
1	Tomasa	13	0	0	0	5	40	100	100	100
1	Tomasa	14	0	0	0	5	40	95	100	100
1	Tomasa	15	0	0	0	5	50	100	100	100
1	Tomasa	16	0	0	0	5	50	100	100	100
1	Tomasa	17	0	0	0	10	100	100	100	100
1	Tomasa	18	0	0	0	5	50	100	100	100
1	Tomasa	19	0	0	0	1	50	100	100	100
1	Tomasa	20	0	0	0	5	50	100	100	100
1	Cruza148	1	0	0	0	0	0	1	1	1
1	Cruza148	2	0	0	0	0	0	0	0	1
1	Cruza148	3	0	0	0	0	0	1	1	1
1	Cruza148	4	0	0	0	0	0	1	1	1
1	Cruza148	5	0	0	0	0	0	0	1	1
1	Cruza148	6	0	0	0	0	0	0	0	1
1	Cruza148	7	0	0	0	0	0	1	1	1
1	Cruza148	8	0	0	0	0	0	0	0	1
1	Cruza148	9	0	0	0	0	0	0	1	1
1	Cruza148	10	0	0	0	0	0	5	5	5
1	Cruza148	11	0	0	0	0	0	0	0	1
1	Cruza148	12	0	0	0	0	0	0	1	1
1	Cruza148	13	0	0	0	0	0	0	1	1
1	Cruza148	14	0	0	0	0	0	0	1	1
1	Cruza148	15	0	0	0	0	0	1	1	1
1	Cruza148	16	0	0	0	0	0	1	1	1
1	Cruza148	17	0	0	0	0	0	0	0	1
1	Cruza148	18	0	0	0	0	0	0	1	5
1	Cruza148	19	0	0	0	0	0	1	1	1
1	Cruza148	20	0	0	0	0	0	1	5	5
1	Pimpernell	1	0	0	0	0	1	50	70	90
1	Pimpernell	2	0	0	1	1	1	50	70	90
1	Pimpernell	3	0	0	0	0	1	50	70	90
1	Pimpernell	4	0	0	0	0	5	60	70	90
1	Pimpernell	5	0	0	0	0	1	50	70	90
1	Pimpernell	6	0	0	0	0	1	50	70	90
1	Pimpernell	7	0	0	0	0	1	50	60	90
1	Pimpernell	8	0	0	0	0	5	50	60	85
1	Pimpernell	9	0	0	0	0	1	50	60	90
1	Pimpernell	10	0	0	0	1	1	50	60	90
1	Pimpernell	11	0	0	0	0	1	50	70	90
1	Pimpernell	12	0	0	0	0	1	50	70	85
1	Pimpernell	13	0	0	0	1	1	50	70	85
1	Pimpernell	14	0	0	0	1	1	50	60	90
1	Pimpernell	15	0	0	0	1	1	50	60	90
1	Pimpernell	16	0	0	0	0	1	50	60	90
1	Pimpernell	17	0	0	0	0	1	50	70	90
1	Pimpernell	18	0	0	0	0	1	50	80	90
1	Pimpernell	19	0	0	0	0	1	50	70	90
1	Pimpernell	20	0	0	0	1	5	50	60	90
2	Pimpernell	1	0	0	0	1	5	50	75	90
2	Pimpernell	2	0	0	0	1	10	50	75	90
2	Pimpernell	3	0	0	0	1	10	40	75	90
2	Pimpernell	4	0	0	0	1	10	50	80	95
2	Pimpernell	5	0	0	0	1	15	50	80	90
2	Pimpernell	6	0	0	0	1	10	50	80	90
2	Pimpernell	7	0	0	0	1	10	40	80	95
2	Pimpernell	8	0	0	0	1	10	40	80	95
2	Pimpernell	9	0	0	0	1	10	50	85	95
2	Pimpernell	10	0	0	0	1	20	50	85	95
2	Pimpernell	11	0	0	0	1	10	40	80	95
2	Pimpernell	12	0	0	0	1	10	40	80	90
2	Pimpernell	13	0	0	0	1	10	35	80	90
2	Pimpernell	14	0	0	0	1	10	35	80	90
2	Pimpernell	15	0	0	0	1	10	40	80	90
2	Pimpernell	16	0	0	0	1	10	35	80	90
2	Pimpernell	17	0	0	0	1	10	50	80	95
2	Pimpernell	18	0	0	0	1	10	40	80	95
2	Pimpernell	19	0	0	1	1	15	50	80	100
2	Pimpernell	20	0	0	0	1	20	50	80	100
2	Cruza148	1	0	0	0	0	1	1	5	5
2	Cruza148	2	0	0	0	0	1	1	1	1
2	Cruza148	3	0	0	0	0	0	1	1	1
2	Cruza148	4	0	0	0	0	0	0	1	1
2	Cruza148	5	0	0	0	0	0	1	1	5
2	Cruza148	6	0	0	0	1	1	1	5	5
2	Cruza148	7	0	0	0	0	0	10	10	10
2	Cruza148	8	0	0	0	1	1	5	10	10
2	Cruza148	9	0	0	0	1	1	10	15	15
2	Cruza148	10	0	0	0	1	1	10	10	10
2	Cruza148	11	0	0	0	0	1	5	5	5
2	Cruza148	12	0	0	0	0	0	0	1	1
2	Cruza148	13	0	0	0	0	0	1	5	5
2	Cruza148	14	0	0	0	0	0	1	1	1
2	Cruza148	15	0	0	0	0	0	0	1	1
2	Cruza148	16	0	0	0	0	0	0	1	1
2	Cruza148	17	0	0	0	0	0	1	1	1
2	Cruza148	18	0	0	0	1	1	5	1	1
2	Cruza148	19	0	0	0	0	0	0	1	1
2	Cruza148	20	0	0	0	1	1	5	10	10
2	Musuq	1	0	0	0	15	50	95	100	100
2	Musuq	2	0	0	0	5	50	95	100	100
2	Musuq	3	0	0	0	20	50	100	100	100
2	Musuq	4	0	0	1	10	50	100	100	100
2	Musuq	5	0	0	0	5	50	100	100	100
2	Musuq	6	0	0	0	5	45	100	100	100
2	Musuq	7	0	0	0	15	40	95	100	100
2	Musuq	8	0	0	0	5	50	95	100	100
2	Musuq	9	0	0	0	5	50	95	100	100
2	Musuq	10	0	0	0	5	50	100	100	100
2	Musuq	11	0	0	1	10	50	100	100	100
2	Musuq	12	0	0	0	25	50	100	100	100
2	Musuq	13	0	0	0	5	40	100	100	100
2	Musuq	14	0	0	0	5	40	95	100	100
2	Musuq	15	0	0	0	5	50	100	100	100
2	Musuq	16	0	0	0	5	50	100	100	100
2	Musuq	17	0	0	0	5	50	95	100	100
2	Musuq	18	0	0	0	5	50	100	100	100
2	Musuq	19	0	0	0	5	50	100	100	100
2	Musuq	20	0	0	0	5	50	100	100	100
2	Tomasa	1	0	0	0	5	40	100	100	100
2	Tomasa	2	0	0	0	15	50	100	100	100
2	Tomasa	3	0	0	0	10	40	100	100	100
2	Tomasa	4	0	0	0	10	50	95	100	100
2	Tomasa	5	0	0	1	5	40	95	100	100
2	Tomasa	6	0	0	0	5	40	100	100	100
2	Tomasa	7	0	0	0	10	40	95	100	100
2	Tomasa	8	0	0	0	5	40	100	100	100
2	Tomasa	9	0	0	0	5	40	100	100	100
2	Tomasa	10	0	0	0	5	40	100	100	100
2	Tomasa	11	0	0	0	15	50	100	100	100
2	Tomasa	12	0	0	0	5	40	100	100	100
2	Tomasa	13	0	0	0	10	40	95	100	100
2	Tomasa	14	0	0	0	5	40	100	100	100
2	Tomasa	15	0	0	0	5	40	100	100	100
2	Tomasa	16	0	0	1	5	50	100	100	100
2	Tomasa	17	0	0	1	5	40	95	100	100
2	Tomasa	18	0	0	0	5	35	95	100	100
2	Tomasa	19	0	0	0	5	30	95	100	100
2	Tomasa	20	0	0	0	5	30	95	100	100
3	Tomasa	1	0	0	1	10	70	100	100	100
3	Tomasa	2	0	0	0	10	70	100	100	100
3	Tomasa	3	0	0	1	10	80	100	100	100
3	Tomasa	4	0	0	0	25	80	100	100	100
3	Tomasa	5	0	0	0	15	90	100	100	100
3	Tomasa	6	0	0	0	10	80	100	100	100
3	Tomasa	7	0	0	0	10	80	90	100	100
3	Tomasa	8	0	0	0	15	80	100	100	100
3	Tomasa	9	0	0	0	35	70	100	100	100
3	Tomasa	10	0	0	0	10	70	100	100	100
3	Tomasa	11	0	0	0	30	90	100	100	100
3	Tomasa	12	0	0	0	55	90	100	100	100
3	Tomasa	13	0	0	0	15	80	100	100	100
3	Tomasa	14	0	0	0	15	90	100	100	100
3	Tomasa	15	0	0	0	15	80	100	100	100
3	Tomasa	16	0	0	0	15	80	100	100	100
3	Tomasa	17	0	0	0	15	70	90	100	100
3	Tomasa	18	0	0	0	10	80	100	100	100
3	Tomasa	19	0	0	0	10	80	100	100	100
3	Tomasa	20	0	0	0	10	80	100	100	100
3	Musuq	1	0	0	5	35	80	100	100	100
3	Musuq	2	0	0	1	35	80	100	100	100
3	Musuq	3	0	0	0	35	80	100	100	100
3	Musuq	4	0	0	0	30	70	100	100	100
3	Musuq	5	0	0	1	35	80	100	100	100
3	Musuq	6	0	0	0	30	70	100	100	100
3	Musuq	7	0	0	0	30	70	85	100	100
3	Musuq	8	0	0	0	25	80	100	100	100
3	Musuq	9	0	0	0	20	70	100	100	100
3	Musuq	10	0	0	0	25	70	100	100	100
3	Musuq	11	0	0	0	25	80	100	100	100
3	Musuq	12	0	0	0	20	80	100	100	100
3	Musuq	13	0	0	1	35	70	100	100	100
3	Musuq	14	0	0	1	35	90	100	100	100
3	Musuq	15	0	0	10	100	100	100	100	100
3	Musuq	16	0	0	0	40	70	100	100	100
3	Musuq	17	0	0	0	20	70	100	100	100
3	Musuq	18	0	0	0	20	80	100	100	100
3	Musuq	19	0	0	0	15	70	100	100	100
3	Musuq	20	0	0	0	15	70	100	100	100
3	Pimpernell	1	0	0	0	1	5	50	85	95
3	Pimpernell	2	0	0	0	1	5	50	85	95
3	Pimpernell	3	0	0	0	1	10	50	80	90
3	Pimpernell	4	0	0	0	0	5	40	80	90
3	Pimpernell	5	0	0	0	1	5	40	80	95
3	Pimpernell	6	0	0	0	1	5	50	80	95
3	Pimpernell	7	0	0	0	1	5	50	85	95
3	Pimpernell	8	0	0	0	1	5	50	80	90
3	Pimpernell	9	0	0	0	1	10	50	80	90
3	Pimpernell	10	0	0	0	1	5	50	80	95
3	Pimpernell	11	0	0	0	1	5	50	80	95
3	Pimpernell	12	0	0	0	0	5	40	85	95
3	Pimpernell	13	0	0	0	1	5	50	85	95
3	Pimpernell	14	0	0	0	1	5	40	80	95
3	Pimpernell	15	0	0	0	1	5	50	80	95
3	Pimpernell	16	0	0	0	1	5	50	80	95
3	Pimpernell	17	0	0	0	1	5	50	85	95
3	Pimpernell	18	0	0	0	1	5	50	85	95
3	Pimpernell	19	0	0	0	1	5	50	85	95
3	Pimpernell	20	0	0	0	1	5	50	85	95
3	Cruza148	1	0	0	0	0	0	1	1	1
3	Cruza148	2	0	0	0	0	0	0	1	1
3	Cruza148	3	0	0	0	0	0	0	0	1
3	Cruza148	4	0	0	0	0	0	0	1	1
3	Cruza148	5	0	0	0	0	0	1	1	1
3	Cruza148	6	0	0	0	0	0	1	1	1
3	Cruza148	7	0	0	0	0	0	0	1	1
3	Cruza148	8	0	0	0	1	1	1	1	1
3	Cruza148	9	0	0	0	0	0	0	0	1
3	Cruza148	10	0	0	0	0	0	0	1	1
3	Cruza148	11	0	0	0	0	1	5	20	25
3	Cruza148	12	0	0	0	0	0	5	5	5
3	Cruza148	13	0	0	0	0	0	0	1	1
3	Cruza148	14	0	0	0	0	0	1	1	1
3	Cruza148	15	0	0	0	0	0	1	1	1
3	Cruza148	16	0	0	0	0	0	0	1	1
3	Cruza148	17	0	0	0	0	1	1	1	1
3	Cruza148	18	0	0	0	0	0	0	0	1
3	Cruza148	19	0	0	0	0	1	1	1	5
3	Cruza148	20	0	0	0	0	0	0	0	1
4	Tomasa	1	0	0	0	20	90	100	100	100
4	Tomasa	2	0	0	0	15	80	100	100	100
4	Tomasa	3	0	0	0	15	80	100	100	100
4	Tomasa	4	0	0	0	15	80	100	100	100
4	Tomasa	5	0	0	0	20	80	100	100	100
4	Tomasa	6	0	0	0	15	90	100	100	100
4	Tomasa	7	0	0	0	20	80	100	100	100
4	Tomasa	8	0	0	0	20	90	100	100	100
4	Tomasa	9	0	0	0	20	90	100	100	100
4	Tomasa	10	0	0	0	20	80	100	100	100
4	Tomasa	11	0	0	0	20	80	100	100	100
4	Tomasa	12	0	0	0	30	90	100	100	100
4	Tomasa	13	0	0	0	45	90	100	100	100
4	Tomasa	14	0	0	0	30	70	100	100	100
4	Tomasa	15	0	0	1	10	70	100	100	100
4	Tomasa	16	0	0	0	20	80	100	100	100
4	Tomasa	17	0	0	0	25	90	100	100	100
4	Tomasa	18	0	0	0	35	95	100	100	100
4	Tomasa	19	0	0	0	25	80	100	100	100
4	Tomasa	20	0	0	0	50	95	100	100	100
4	Cruza148	1	0	0	0	0	1	1	5	5
4	Cruza148	2	0	0	0	0	0	1	1	1
4	Cruza148	3	0	0	0	0	0	1	1	1
4	Cruza148	4	0	0	0	0	0	1	1	1
4	Cruza148	5	0	0	0	0	0	0	1	1
4	Cruza148	6	0	0	0	0	0	1	1	1
4	Cruza148	7	0	0	0	0	0	0	1	1
4	Cruza148	8	0	0	0	0	0	1	1	1
4	Cruza148	9	0	0	0	0	0	0	5	5
4	Cruza148	10	0	0	0	0	1	1	1	1
4	Cruza148	11	0	0	0	0	1	1	10	10
4	Cruza148	12	0	0	0	0	1	1	5	5
4	Cruza148	13	0	0	0	1	1	1	1	1
4	Cruza148	14	0	0	0	0	0	1	1	1
4	Cruza148	15	0	0	0	0	0	0	1	5
4	Cruza148	16	0	0	0	0	0	1	1	5
4	Cruza148	17	0	0	0	0	0	1	1	1
4	Cruza148	18	0	0	0	0	0	0	1	1
4	Cruza148	19	0	0	0	0	0	1	1	1
4	Cruza148	20	0	0	0	0	1	1	1	1
4	Pimpernell	1	0	0	0	0	1	25	50	70
4	Pimpernell	2	0	0	0	0	1	30	50	70
4	Pimpernell	3	0	0	0	0	5	30	50	80
4	Pimpernell	4	0	0	0	0	1	25	50	80
4	Pimpernell	5	0	0	0	0	1	30	50	70
4	Pimpernell	6	0	0	0	1	1	30	60	70
4	Pimpernell	7	0	0	0	1	1	30	60	80
4	Pimpernell	8	0	0	0	1	1	30	50	80
